id,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
JPN,,34508.0,2178.0,472.0,57.0,1649.0,,60.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,34510.0,2381.0,505.0,60.0,1816.0,,62.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,39446.0,2617.0,514.0,63.0,2040.0,,64.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,42882.0,2935.0,575.0,69.0,2291.0,,69.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,44639.0,3271.0,584.0,70.0,2617.0,,70.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,46172.0,3654.0,592.0,73.0,2989.0,,79.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,55311.0,3906.0,622.0,80.0,3204.0,,80.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,61498.0,4257.0,632.0,81.0,3544.0,,99.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,64387.0,4768.0,685.0,85.0,3998.0,,109.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,68771.0,5347.0,714.0,88.0,4545.0,,117.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,74891.0,6005.0,762.0,94.0,5149.0,,122.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,77381.0,6748.0,784.0,98.0,5866.0,,129.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,78702.0,7255.0,799.0,102.0,6354.0,,135.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,89551.0,7645.0,853.0,109.0,6683.0,,152.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,94236.0,8100.0,901.0,119.0,7080.0,,168.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,100703.0,8582.0,935.0,136.0,7511.0,,193.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,106372.0,9167.0,1012.0,148.0,8007.0,,207.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,111325.0,9795.0,1069.0,154.0,8572.0,,211.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,112816.0,10361.0,1159.0,161.0,9041.0,,217.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,116725.0,10751.0,1239.0,171.0,9341.0,,231.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,124550.0,11119.0,1356.0,186.0,9577.0,,232.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,130587.0,11496.0,1424.0,203.0,9869.0,,241.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,135983.0,11919.0,1494.0,213.0,10212.0,,259.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,141600.0,12388.0,1556.0,232.0,10600.0,,263.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,147454.0,12829.0,1650.0,247.0,10932.0,,287.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,149074.0,13182.0,1751.0,251.0,11180.0,,296.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,150692.0,13385.0,1821.0,253.0,11311.0,,300.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,160546.0,13576.0,1920.0,267.0,11389.0,,305.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,164255.0,13852.0,2008.0,277.0,11567.0,,306.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
